student_id,student_name,disciplina,instrumento,data_entrega,percentual_acertos
1000,Anna Liz Carvalho,Ciências,Questionário Online,2025-02-12,60.79
1000,Anna Liz Carvalho,Inglês,Questionário Online,2025-02-26,48.01
1000,Anna Liz Carvalho,Ciências,Questionário Online,2025-03-16,51.57
1000,Anna Liz Carvalho,Português,Prova,2025-03-19,55.9
1000,Anna Liz Carvalho,Português,Prova,2025-03-30,23.83
1000,Anna Liz Carvalho,Geografia,Apresentação,2025-03-31,63.32
1000,Anna Liz Carvalho,História,Questionário Online,2025-04-01,53.49
1000,Anna Liz Carvalho,História,Trabalho,2025-04-07,59.66
1000,Anna Liz Carvalho,Português,Trabalho,2025-04-11,58.62
1000,Anna Liz Carvalho,História,Prova,2025-04-21,48.23
1000,Anna Liz Carvalho,Ciências,Questionário Online,2025-04-21,61.54
1000,Anna Liz Carvalho,Ciências,Questionário Online,2025-04-28,23.31
1000,Anna Liz Carvalho,Português,Trabalho,2025-05-02,52.71
1000,Anna Liz Carvalho,Inglês,Questionário Online,2025-06-06,61.01
1000,Anna Liz Carvalho,História,Trabalho,2025-06-10,57.49
1000,Anna Liz Carvalho,História,Apresentação,2025-06-13,62.75
1000,Anna Liz Carvalho,Geografia,Apresentação,2025-06-27,57.8
1000,Anna Liz Carvalho,Matemática,Questionário Online,2025-06-27,62.8
1000,Anna Liz Carvalho,História,Apresentação,2025-07-07,63.43
1000,Anna Liz Carvalho,Ciências,Questionário Online,2025-07-11,54.11
1000,Anna Liz Carvalho,Ciências,Apresentação,2025-07-13,54.07
1000,Anna Liz Carvalho,Inglês,Questionário Online,2025-07-22,64.86
1000,Anna Liz Carvalho,Português,Prova,2025-07-30,56.73
1000,Anna Liz Carvalho,Ciências,Trabalho,2025-08-04,57.82
1001,Arthur da Conceição,Matemática,Trabalho,2025-02-03,85.93
1001,Arthur da Conceição,Português,Trabalho,2025-02-13,86.59
1001,Arthur da Conceição,História,Prova,2025-02-28,93.97
1001,Arthur da Conceição,História,Trabalho,2025-03-01,92.55
1001,Arthur da Conceição,História,Apresentação,2025-03-29,89.64
1001,Arthur da Conceição,Português,Trabalho,2025-04-12,90.6
1001,Arthur da Conceição,História,Prova,2025-04-18,80.84
1001,Arthur da Conceição,Ciências,Questionário Online,2025-05-01,85.92
1001,Arthur da Conceição,Ciências,Questionário Online,2025-05-10,98.6
1001,Arthur da Conceição,Geografia,Questionário Online,2025-05-20,90.96
1001,Arthur da Conceição,Geografia,Apresentação,2025-05-21,85.3
1001,Arthur da Conceição,Matemática,Questionário Online,2025-05-22,64.98
1001,Arthur da Conceição,Inglês,Trabalho,2025-05-31,92.61
1001,Arthur da Conceição,Inglês,Trabalho,2025-06-11,97.66
1001,Arthur da Conceição,Geografia,Questionário Online,2025-07-04,80.71
1001,Arthur da Conceição,Português,Apresentação,2025-07-11,79.73
1001,Arthur da Conceição,Português,Trabalho,2025-07-27,99.22
1001,Arthur da Conceição,Matemática,Apresentação,2025-08-08,85.32
1001,Arthur da Conceição,Português,Trabalho,2025-08-17,83.7
1002,Valentina Albuquerque,Português,Questionário Online,2025-02-07,62.13
1002,Valentina Albuquerque,Português,Apresentação,2025-02-09,59.14
1002,Valentina Albuquerque,História,Questionário Online,2025-03-01,64.85
1002,Valentina Albuquerque,História,Prova,2025-03-13,45.08
1002,Valentina Albuquerque,Português,Trabalho,2025-05-05,70.46
1002,Valentina Albuquerque,Português,Trabalho,2025-05-24,75.15
1002,Valentina Albuquerque,Matemática,Apresentação,2025-05-30,57.05
1002,Valentina Albuquerque,Geografia,Apresentação,2025-06-02,74.7
1002,Valentina Albuquerque,Ciências,Trabalho,2025-06-04,73.97
1002,Valentina Albuquerque,Matemática,Apresentação,2025-07-05,59.13
1002,Valentina Albuquerque,Inglês,Questionário Online,2025-07-09,59.03
1002,Valentina Albuquerque,Inglês,Trabalho,2025-07-17,57.45
1002,Valentina Albuquerque,História,Apresentação,2025-07-24,64.02
1002,Valentina Albuquerque,Ciências,Questionário Online,2025-08-01,64.76
1002,Valentina Albuquerque,Português,Prova,2025-08-07,75.89
1002,Valentina Albuquerque,Inglês,Trabalho,2025-08-12,65.29
1003,Erick Rodrigues,Ciências,Questionário Online,2025-02-02,83.89
1003,Erick Rodrigues,História,Apresentação,2025-02-13,79.86
1003,Erick Rodrigues,Ciências,Questionário Online,2025-02-23,44.21
1003,Erick Rodrigues,Ciências,Apresentação,2025-04-22,68.76
1003,Erick Rodrigues,Matemática,Trabalho,2025-05-01,85.55
1003,Erick Rodrigues,Matemática,Trabalho,2025-05-15,75.05
1003,Erick Rodrigues,Ciências,Apresentação,2025-05-20,83.91
1003,Erick Rodrigues,Ciências,Prova,2025-06-04,81.67
1003,Erick Rodrigues,Ciências,Trabalho,2025-06-11,83.16
1003,Erick Rodrigues,Ciências,Apresentação,2025-06-14,87.01
1003,Erick Rodrigues,Matemática,Prova,2025-06-27,73.96
1003,Erick Rodrigues,História,Questionário Online,2025-07-11,79.43
1003,Erick Rodrigues,Matemática,Apresentação,2025-08-10,78.1
1003,Erick Rodrigues,Português,Questionário Online,2025-08-19,75.49
1004,Kamilly Nascimento,Ciências,Questionário Online,2025-02-03,87.83
1004,Kamilly Nascimento,Matemática,Apresentação,2025-02-18,76.52
1004,Kamilly Nascimento,Ciências,Trabalho,2025-02-21,88.74
1004,Kamilly Nascimento,Matemática,Questionário Online,2025-02-28,84.6
1004,Kamilly Nascimento,Ciências,Questionário Online,2025-03-02,80.9
1004,Kamilly Nascimento,Geografia,Trabalho,2025-03-22,76.74
1004,Kamilly Nascimento,História,Prova,2025-03-25,92.81
1004,Kamilly Nascimento,Geografia,Apresentação,2025-03-25,65.49
1004,Kamilly Nascimento,Ciências,Prova,2025-04-02,80.89
